Date,F_EUR/USD,F_GBP/USD,F_AUD/USD,F_USD/CAD,F_NZD/USD,F_USD/JPY
2015-08-28,1.125,1.5407,0.7165,1.31804402267,0.6469,82.57
2015-08-31,1.1181,1.5403,0.7159,1.32345156167,0.6458,82.255
2015-09-01,1.121,1.5343,0.7109,1.32205182443,0.6337,82.485
2015-09-02,1.1312,1.5302,0.7012,1.32310134956,0.6336,83.765
2015-09-03,1.1226,1.5302,0.7036,1.3201320132,0.6351,83.09
2015-09-04,1.112,1.5253,0.7008,1.32275132275,0.6385,83.275
2015-09-08,1.116,1.5178,0.6911,1.32978723404,0.6283,84.085
2015-09-09,1.1204,1.5394,0.7019,1.32030631106,0.6335,83.425
2015-09-10,1.1213,1.536,0.6986,1.32749236692,0.6291,83.075
2015-09-11,1.1278,1.545,0.7074,1.32625994695,0.6297,82.86
2015-09-14,1.1338,1.5421,0.7053,1.32731616671,0.6276,83.075
2015-09-15,1.1333,1.5419,0.7101,1.32450331126,0.6291,83.305
2015-09-16,1.1282,1.5334,0.7105,1.31839156229,0.6309,83.175
2015-09-17,1.1307,1.5488,0.716,1.30821559393,0.6329,83.075
2015-09-18,1.1433,1.5578,0.7137,1.30463144162,0.6312,83.33
2015-09-21,1.1304,1.5518,0.715,1.32450331126,0.6351,83.395
2015-09-22,1.1205,1.5501,0.71,1.32872707946,0.6277,83.105
2015-09-23,1.114,1.5354,0.7053,1.33333333333,0.6249,83.385
2015-09-24,1.1201,1.5242,0.6974,1.33493525564,0.6233,83.31
2015-09-25,1.1192,1.5217,0.6958,1.33209004929,0.6287,83.295
2015-09-28,1.1206,1.5199,0.6995,1.3361838589,0.6342,83.08
2015-09-29,1.1256,1.5164,0.6954,1.34372480516,0.6283,83.48
2015-09-30,1.1263,1.5147,0.6962,1.34138162307,0.6314,83.565
2015-10-01,1.1185,1.5121,0.6992,1.32538104705,0.6369,83.49
2015-10-02,1.12,1.5125,0.7005,1.32450331126,0.6366,83.475
2015-10-05,1.1228,1.5172,0.7029,1.31319763624,0.6424,83.415
2015-10-06,1.1197,1.5141,0.7057,1.30565347957,0.6456,83.095
2015-10-07,1.128,1.5228,0.7138,1.2987012987,0.651,83.27
2015-10-08,1.125,1.5311,0.718,1.30718954248,0.6582,83.41
2015-10-09,1.129,1.5342,0.7233,1.29617627997,0.6633,83.465
2015-10-12,1.1373,1.5312,0.73,1.2976901116,0.666,83.25
2015-10-13,1.1367,1.5337,0.7339,1.30753138075,0.669,83.375
2015-10-14,1.1393,1.5244,0.7191,1.30157490564,0.6601,83.555
2015-10-15,1.1492,1.5478,0.7284,1.28865979381,0.6773,84.265
2015-10-16,1.1389,1.5462,0.7313,1.29032258065,0.684,84.185
2015-10-19,1.1369,1.5434,0.7243,1.2987012987,0.6779,83.875
2015-10-20,1.1339,1.5455,0.723,1.30548302872,0.6768,83.735
2015-10-21,1.1355,1.5438,0.7242,1.29920748344,0.6722,83.46
2015-10-22,1.1347,1.541,0.7193,1.31147540984,0.6688,83.435
2015-10-23,1.1113,1.5386,0.7193,1.30941469163,0.6765,82.885
2015-10-26,1.1013,1.5304,0.7193,1.31561636627,0.6727,82.37
2015-10-27,1.106,1.5344,0.7226,1.32608407373,0.6755,82.67
2015-10-28,1.1051,1.53,0.7182,1.32749236692,0.6744,83.09
2015-10-29,1.0932,1.5262,0.7086,1.31682907559,0.6662,82.6
2015-10-30,1.0992,1.5307,0.7063,1.31752305665,0.6677,82.63
2015-11-02,1.1037,1.5448,0.7114,1.30958617077,0.6746,83.02
2015-11-03,1.1018,1.5412,0.7127,1.31216375804,0.6723,82.845
2015-11-04,1.0967,1.5417,0.7166,1.31095962244,0.6639,82.63
2015-11-05,1.0872,1.5383,0.7126,1.31561636627,0.6574,82.29
2015-11-06,1.0887,1.5205,0.7132,1.32327643245,0.6595,82.195
2015-11-09,1.0735,1.505,0.7019,1.33031794599,0.6506,81.11
2015-11-10,1.0758,1.511,0.703,1.32749236692,0.6519,81.26
2015-11-11,1.0727,1.5117,0.7015,1.32749236692,0.6519,81.185
2015-11-12,1.0761,1.5213,0.7057,1.32925694537,0.6548,81.445
2015-11-13,1.0809,1.5226,0.7111,1.33155792277,0.653,81.545
2015-11-16,1.074,1.5222,0.7109,1.33457894034,0.6524,81.73
2015-11-17,1.0687,1.5197,0.7082,1.33155792277,0.6476,81.16
2015-11-18,1.0648,1.5212,0.71,1.33493525564,0.6468,81.03
2015-11-20,1.0731,1.5286,0.7181,1.33440085402,0.6553,81.36
2015-11-23,1.0644,1.5184,0.7222,1.34048257373,0.6551,81.405
2015-11-24,1.0636,1.5121,0.7187,1.33315557926,0.6507,81.385
2015-11-30,1.0592,1.5034,0.7185,1.33440085402,0.6528,81.455
2015-12-01,1.0572,1.5061,0.7222,1.33493525564,0.6584,81.22
