DATE,EUR/USD,GBP/USD,AUD/USD,USD/CAD,NZD/USD,USD/JPY
2015-08-28,1.1172,1.5362,0.7129,1.3268,0.6446,121.32
2015-08-31,1.1194,1.5363,0.71,1.3223,0.6349,121.26
2015-09-01,1.1263,1.5341,0.7036,1.318,0.6346,119.94
2015-09-02,1.1242,1.531,0.7011,1.3308,0.6343,120.0
2015-09-03,1.1104,1.5254,0.7025,1.32,0.64,120.2
2015-09-04,1.1117,1.5195,0.6917,1.3272,0.628,119.05
2015-09-08,1.1182,1.5381,0.7023,1.3193,0.6347,119.72
2015-09-09,1.1165,1.5363,0.7024,1.3221,0.6402,120.94
2015-09-10,1.1262,1.5457,0.7086,1.3218,0.6306,120.71
2015-09-11,1.1338,1.5426,0.7074,1.3274,0.6314,120.66
2015-09-14,1.1307,1.5423,0.7137,1.3265,0.633,119.92
2015-09-15,1.126,1.5352,0.7092,1.3261,0.6313,120.3
2015-09-16,1.1304,1.5499,0.7186,1.318,0.6349,120.62
2015-09-17,1.1312,1.5509,0.7147,1.3186,0.6322,120.9
2015-09-18,1.1358,1.5573,0.7222,1.3146,0.6416,119.85
2015-09-21,1.1204,1.5506,0.7125,1.3249,0.631,120.46
2015-09-22,1.1133,1.5356,0.7078,1.3276,0.6292,120.04
2015-09-23,1.116,1.5243,0.7004,1.3313,0.6244,120.12
2015-09-24,1.1252,1.5254,0.6998,1.3348,0.6338,119.54
2015-09-25,1.1192,1.5172,0.7014,1.3322,0.6369,120.74
2015-09-28,1.1236,1.5208,0.7005,1.336,0.6346,119.82
2015-09-29,1.1246,1.5168,0.7007,1.3414,0.6368,119.76
2015-09-30,1.1162,1.5116,0.702,1.3396,0.639,119.81
2015-10-01,1.12,1.5162,0.7044,1.324,0.6411,119.58
2015-10-02,1.1276,1.5216,0.7025,1.3213,0.6432,119.42
2015-10-05,1.12,1.5165,0.7088,1.3084,0.6505,120.36
2015-10-06,1.1266,1.5227,0.7143,1.3056,0.6536,120.18
2015-10-07,1.1249,1.5315,0.7213,1.3038,0.6623,119.9
2015-10-08,1.1282,1.5316,0.7225,1.3017,0.6642,119.94
2015-10-09,1.1363,1.5315,0.7328,1.2945,0.67,120.3
2015-10-13,1.1382,1.5242,0.7283,1.2984,0.6689,119.8
2015-10-14,1.1437,1.5445,0.7256,1.2983,0.6767,119.21
2015-10-15,1.1418,1.5475,0.7316,1.2901,0.6854,118.26
2015-10-16,1.136,1.5441,0.7261,1.2932,0.6799,119.6
2015-10-19,1.132,1.5471,0.7254,1.2999,0.6804,119.5
2015-10-20,1.1359,1.547,0.7256,1.2974,0.6755,119.79
2015-10-21,1.1345,1.5463,0.7226,1.3117,0.6734,119.91
2015-10-22,1.114,1.5399,0.722,1.3087,0.6791,120.5
2015-10-23,1.1016,1.534,0.7215,1.3171,0.6751,121.2
2015-10-26,1.1051,1.5361,0.7262,1.3134,0.6794,120.87
2015-10-27,1.1052,1.5312,0.7233,1.3242,0.6802,120.29
2015-10-28,1.1066,1.5319,0.7143,1.3149,0.6721,120.56
2015-10-29,1.0963,1.5296,0.7081,1.3169,0.668,121.14
2015-10-30,1.1042,1.5445,0.7133,1.3082,0.6766,120.7
2015-11-02,1.1026,1.5428,0.7141,1.3093,0.6745,120.7
2015-11-03,1.0946,1.5404,0.7173,1.3107,0.6676,121.2
2015-11-04,1.0861,1.5377,0.7148,1.3164,0.6587,121.52
2015-11-05,1.0869,1.5236,0.7148,1.3162,0.6627,121.71
2015-11-06,1.0746,1.5071,0.7034,1.3307,0.6509,123.2
2015-11-09,1.0767,1.5124,0.7046,1.3274,0.6537,123.04
